SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,dTOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,RANGE,runningTotal
ALOKTEXT,BE,3.15,3.35,3.1,3.25,3.25,3.25,6135467,1.959616615E7,0020-01-29,2959,INE270A01011,0.25,0.25,
ALPA,EQ,20.9,21.55,20.25,20.7,20.6,21.0,47200,990162.3,0020-01-29,245,INE385I01010,1.3000000000000007,1.3000000000000007,
ALPHAGEO,EQ,212.15,213.85,200.0,202.6,201.3,210.5,11011,2268005.55,0020-01-29,873,INE137C01018,13.849999999999994,13.849999999999994,
ALPSINDUS,BE,1.2,1.25,1.2,1.2,1.25,1.25,9640,11619.95,0020-01-29,39,INE093B01015,0.050000000000000044,0.050000000000000044,
AMARAJABAT,EQ,792.95,804.0,792.0,795.75,795.2,790.1,360220,2.874691763E8,0020-01-29,8700,INE885A01032,12.0,12.0,
AMBER,EQ,1478.0,1585.0,1478.0,1535.5,1542.0,1469.15,291963,4.477098446E8,0020-01-29,22878,INE371P01015,107.0,107.0,
AMBIKCO,EQ,841.15,847.45,831.0,838.5,839.1,836.95,9734,8160723.5,0020-01-29,610,INE540G01014,16.450000000000045,16.450000000000045,
AMBUJACEM,EQ,216.75,218.25,213.25,214.05,214.4,216.15,3410299,7.379338896E8,0020-01-29,18535,INE079A01024,5.0,5.0,
AMDIND,EQ,17.5,18.55,15.75,17.75,17.7,17.1,43034,768029.85,0020-01-29,312,INE005I01014,2.8000000000000007,2.8000000000000007,
AMJLAND,EQ,22.2,22.2,20.8,21.4,21.5,21.25,4465,94101.95,0020-01-29,51,INE606A01024,1.3999999999999986,1.3999999999999986,
AMRUTANJAN,EQ,446.35,465.0,446.35,461.5,465.0,449.15,28617,1.31563813E7,0020-01-29,1746,INE098F01031,18.649999999999977,18.649999999999977,
ANANTRAJ,EQ,35.8,35.85,35.05,35.2,35.15,35.25,151616,5384520.75,0020-01-29,1348,INE242C01024,0.8000000000000043,0.8000000000000043,
ANDHRABANK,EQ,16.85,16.9,16.75,16.8,16.8,16.8,297046,4996449.6,0020-01-29,2396,INE434A01013,0.14999999999999858,0.14999999999999858,
ANDHRACEMT,EQ,2.45,2.45,2.3,2.35,2.35,2.35,100133,238074.05,0020-01-29,163,INE666E01012,0.15000000000000036,0.15000000000000036,
ANDHRSUGAR,EQ,326.95,344.0,326.95,334.75,335.05,324.6,47532,1.60854154E7,0020-01-29,1812,INE715B01013,17.05000000000001,17.05000000000001,
ANDPAPER,EQ,307.95,312.0,301.0,303.85,304.3,303.15,7803,2411243.0,0020-01-29,359,INE435A01028,11.0,11.0,
ANIKINDS,EQ,10.05,11.0,10.0,10.1,10.8,10.5,15700,158300.3,0020-01-29,70,INE087B01017,1.0,1.0,
ANKITMETAL,BE,0.45,0.5,0.4,0.5,0.5,0.45,9528,4186.5,0020-01-29,33,INE106I01010,0.09999999999999998,0.09999999999999998,
ANSALAPI,EQ,5.3,5.3,5.1,5.15,5.2,5.2,42826,221530.7,0020-01-29,76,INE436A01026,0.20000000000000018,0.20000000000000018,
ANSALHSG,BE,5.55,5.8,5.4,5.65,5.6,5.55,45416,259763.7,0020-01-29,68,INE880B01015,0.39999999999999947,0.39999999999999947,
ANTGRAPHIC,BE,0.6,0.65,0.6,0.65,0.65,0.65,9956,6168.5,0020-01-29,16,INE414B01021,0.050000000000000044,0.050000000000000044,
ANUP,EQ,592.0,630.0,581.9,622.85,620.0,585.6,53333,3.265977635E7,0020-01-29,2507,INE294Z01018,48.10000000000002,48.10000000000002,
APARINDS,EQ,403.0,403.0,396.55,398.45,396.8,399.55,56584,2.25781116E7,0020-01-29,1010,INE372A01015,6.449999999999989,6.449999999999989,
APCL,EQ,167.8,167.8,160.0,160.2,161.45,162.9,4703,761574.1,0020-01-29,112,INE071F01012,7.800000000000011,7.800000000000011,
APCOTEXIND,EQ,161.5,165.9,160.5,161.8,160.65,161.55,50035,8150442.0,0020-01-29,937,INE116A01032,5.400000000000006,5.400000000000006,
APEX,EQ,363.0,372.0,360.3,364.3,363.0,362.1,282532,1.034660271E8,0020-01-29,7614,INE346W01013,11.699999999999989,11.699999999999989,
APLAPOLLO,EQ,2074.1,2078.0,2045.5,2058.25,2045.5,2041.25,29587,6.10031265E7,0020-01-29,4797,INE702C01019,32.5,32.5,
APLLTD,EQ,633.0,644.0,630.05,634.55,633.0,632.4,699062,4.439251516E8,0020-01-29,19341,INE901L01018,13.950000000000045,13.950000000000045,
APOLLO,EQ,77.5,79.4,75.75,78.25,78.0,75.4,18292,1415674.45,0020-01-29,662,INE713T01010,3.6500000000000057,3.6500000000000057,
APOLLOHOSP,EQ,1687.0,1694.95,1671.05,1688.0,1688.0,1677.75,230705,3.887461258E8,0020-01-29,10779,INE437A01024,23.90000000000009,23.90000000000009,
APOLLOPIPE,EQ,418.0,418.0,400.0,406.0,406.0,402.65,16744,6796260.85,0020-01-29,1027,INE126J01016,18.0,18.0,
APOLLOTYRE,EQ,174.55,175.8,173.5,174.2,174.4,173.9,1067364,1.8634651E8,0020-01-29,8142,INE438A01022,2.3000000000000114,2.3000000000000114,
APOLSINHOT,EQ,763.9,765.0,754.0,757.15,755.0,753.95,808,612422.05,0020-01-29,101,INE451F01024,11.0,11.0,
APTECHT,EQ,148.0,183.3,148.0,180.0,177.45,161.95,2662699,4.477206449E8,0020-01-29,39279,INE266F01018,35.30000000000001,35.30000000000001,
ARCHIDPLY,EQ,31.8,32.4,30.55,30.75,30.8,30.95,7874,243878.45,0020-01-29,288,INE877I01016,1.8499999999999979,1.8499999999999979,
ARCHIES,EQ,17.65,17.75,17.3,17.55,17.6,17.6,20777,364376.15,0020-01-29,133,INE731A01020,0.4499999999999993,0.4499999999999993,
ARCOTECH,BE,2.15,2.15,1.95,1.95,2.05,2.05,20004,40228.5,0020-01-29,47,INE574I01035,0.19999999999999996,0.19999999999999996,
ARIES,EQ,75.8,75.8,74.0,74.15,75.0,73.8,19300,1435698.4,0020-01-29,329,INE298I01015,1.7999999999999972,1.7999999999999972,
ARIHANT,EQ,23.85,23.85,23.0,23.55,23.6,22.8,721,17009.25,0020-01-29,13,INE413D01011,0.8500000000000014,0.8500000000000014,
ARIHANTSUP,EQ,29.45,31.65,29.45,31.0,31.65,30.45,3212,98387.3,0020-01-29,169,INE643K01018,2.1999999999999993,2.1999999999999993,
ARMANFIN,EQ,735.0,750.0,731.55,742.9,748.85,723.45,4335,3214796.9,0020-01-29,559,INE109C01017,18.450000000000045,18.450000000000045,
AROGRANITE,EQ,36.65,38.2,36.2,36.65,36.9,36.25,6514,240015.9,0020-01-29,172,INE210C01013,2.0,2.0,
ARROWGREEN,EQ,50.9,51.75,50.5,50.5,50.5,50.5,2502,127392.65,0020-01-29,68,INE570D01018,1.25,1.25,
ARROWTEX,BE,9.5,9.7,9.5,9.55,9.65,9.5,2462,23517.6,0020-01-29,17,INE933J01015,0.1999999999999993,0.1999999999999993,
ARSHIYA,EQ,16.75,17.8,16.65,17.4,17.2,16.9,40351,688986.25,0020-01-29,137,INE968D01022,1.1500000000000021,1.1500000000000021,
ARSSINFRA,EQ,21.3,21.3,20.25,20.7,20.7,20.6,7787,162117.35,0020-01-29,46,INE267I01010,1.0500000000000007,1.0500000000000007,
ARTEMISMED,BE,261.25,261.25,261.25,261.25,261.25,248.85,3696,965580.0,0020-01-29,34,INE025R01013,0.0,0.0,
ARVIND,EQ,42.45,43.1,42.3,42.95,43.0,42.45,644234,2.755033495E7,0020-01-29,3104,INE034A01011,0.8000000000000043,0.8000000000000043,
ARVINDFASN,EQ,393.0,400.0,392.0,393.2,392.4,392.9,10587,4182372.45,0020-01-29,663,INE955V01021,8.0,8.0,
ARVSMART,EQ,91.55,93.95,91.0,92.55,93.0,92.15,6799,630633.25,0020-01-29,686,INE034S01021,2.950000000000003,2.950000000000003,
ASAHIINDIA,EQ,251.4,252.0,245.85,246.85,248.5,249.65,9308,2309211.55,0020-01-29,340,INE439A01020,6.150000000000006,6.150000000000006,
ASAHISONG,EQ,152.75,156.0,149.15,154.0,156.0,152.45,18870,2864795.15,0020-01-29,557,INE228I01012,6.849999999999994,6.849999999999994,
ASAL,EQ,33.2,33.45,32.6,32.65,33.0,33.2,5863,191853.15,0020-01-29,48,INE900C01027,0.8500000000000014,0.8500000000000014,
ASCOM,SM,32.9,32.9,32.5,32.5,32.5,32.85,16000,523000.0,0020-01-29,4,INE08KD01015,0.3999999999999986,0.3999999999999986,
ASHAPURMIN,EQ,33.55,35.65,33.55,34.05,34.0,34.45,16657,568728.25,0020-01-29,92,INE348A01023,2.1000000000000014,2.1000000000000014,
ASHIANA,EQ,115.0,115.35,110.7,114.7,114.5,112.8,20580,2332988.25,0020-01-29,346,INE365D01021,4.6499999999999915,4.6499999999999915,
